sample,rtt_us
927,2594.000
928,4411.500
929,4123.000
930,2624.700
931,3086.400
932,2571.300
933,5439.400
934,6177.500
935,2590.900
936,3538.200
937,4270.800
938,2573.500
939,2876.700
940,6574.500
941,3877.800
942,3163.200
943,2729.300
944,3957.300
945,3447.000
946,3550.400
947,2578.100
948,2753.000
949,3289.300
950,4150.600
951,3570.200
952,2675.300
953,3997.100
954,3598.900
955,2956.300
956,2606.100
957,2707.600
958,2909.200
959,4341.700
960,3952.900
961,174073.200
962,3001.300
963,2659.800
964,2655.900
965,2931.700
966,5188.700
967,3573.000
968,9574.900
969,2751.000
970,6514.900
971,3155.000
972,3758.000
973,4097.300
974,5537.300
975,2987.300
976,4821.300
977,5095.400
978,2613.200
979,2767.600
980,2588.000
981,2606.400
982,3903.800
983,3343.100
984,3317.500
985,6515.100
986,2694.700
987,2864.300
988,3521.900
989,2569.800
990,5756.300
991,2947.400
992,2652.700
993,3898.700
994,3637.200
995,3299.200
996,2673.400
997,2549.500
998,8626.700
999,4249.600
1000,4678.700
1001,3101.500
1002,15268.400
1003,2667.700
1004,4489.200
1005,4951.100
1006,10687.200
1007,2770.000
1008,2638.200
1009,6205.700
1010,7390.800
1011,4418.900
1012,4890.000
1013,5327.200
1014,2671.700
1015,2800.800
1016,3222.900
1017,6548.400
1018,3330.200
1019,10164.000
1020,2637.900
1021,2691.000
1022,2765.500
1023,8821.700
1024,4006.200
1025,5554.900
1026,3752.300
1027,2712.000
1028,2576.100
1029,2666.400
1030,3676.100
1031,3102.800
1032,5484.500
1033,2724.800
1034,4620.000
1035,3293.200
1036,3070.200
1037,3011.500
1038,4189.700
1039,3521.900
1040,4531.100
1041,2977.900
1042,5669.200
1043,6415.200
1044,4711.400
1045,2577.900
1046,2699.000
1047,2556.000
1048,3352.200
1049,5532.900
1050,6410.000
1051,9933.400
1052,3379.800
1053,2669.200
1054,3428.000
1055,3621.200
1056,4992.600
1057,3403.600
1058,4288.000
1059,6367.300
1060,3615.800
1061,3561.600
1062,5140.100
1063,2961.800
1064,2678.300
1065,3827.600
1066,15404.000
1067,4395.800
1068,3415.300
1069,2664.200
1070,6074.000
1071,3898.900
1072,4840.100
1073,2723.100
1074,5740.500
1075,2722.600
1076,3270.300
1077,5214.800
1078,3936.500
1079,3286.800
1080,6244.800
1081,3586.900
1082,2745.800
1083,2889.400
1084,4076.300
1085,6603.200
1086,2625.800
1087,3863.700
1088,184692.700
1089,6513.700
1090,3337.300
1091,2582.600
1092,2785.700
1093,3467.800
1094,2711.400
1095,5122.200
1096,3341.200
1097,5362.600
1098,2912.200
1099,2893.600
1100,4206.700
1101,2803.100
1102,6241.900
1103,4491.600
1104,3272.200
1105,6312.400
1106,2568.800
1107,4617.600
1108,2989.000
1109,8549.800
1110,3109.600
1111,5092.300
1112,3723.900
1113,2862.000
1114,6199.000
1115,2574.800
1116,2735.300
1117,2539.500
1118,3305.900
1119,3147.700
1120,9540.600
1121,7275.200
1122,2476.900
1123,3023.900
1124,2693.100
1125,2546.900
1126,7655.600
1127,3403.000
1128,4227.800
1129,10005.000
1130,8787.100
1131,4017.300
1132,2677.200
1133,4837.800
1134,2688.700
1135,2817.600
1136,4502.400
1137,3761.000
1138,2683.700
1139,2647.500
1140,4089.000
1141,3158.500
1142,7725.700
1143,5630.600
1144,2803.100
1145,2713.700
1146,9263.000
1147,8309.500
1148,3581.900
1149,6244.100
1150,2572.700
1151,2647.600
1152,2639.900
1153,3601.300
1154,5797.900
1155,4487.300
1156,5879.200
1157,5844.100
1158,3873.500
1159,6207.600
1160,8056.600
1161,2877.400
1162,3819.200
1163,4694.400
1164,2528.500
1165,3847.100
1166,4855.800
1167,3698.700
1168,3582.900
1169,3531.800
1170,8116.800
1171,4224.200
1172,6252.100
1173,2557.900
1174,4372.700
1175,2571.300
1176,5147.700
1177,3201.700
1178,3368.200
1179,4544.300
1180,12291.500
1181,9135.000
1182,2830.200
1183,3746.600
1184,5510.000
1185,6916.900
1186,11672.300
1187,2685.100
1188,4094.300
1189,6436.800
1190,2741.300
1191,2591.100
1192,3266.900
1193,3769.200
1194,3107.300
1195,3752.700
1196,6402.300
1197,3110.500
1198,3589.000
1199,4625.800
1200,2859.600
1201,3418.300
1202,6387.800
1203,6020.800
1204,3054.100
1205,4713.900
1206,205071.500
1207,5224.200
1208,199577.900
1209,4215.800
1210,5639.800
1211,7818.700
1212,3555.100
1213,4220.200
1214,3630.900
1215,2620.800
1216,2657.800
1217,5363.500
1218,3891.700
1219,2707.500
1220,4045.500
1221,2881.400
1222,5903.800
1223,2886.500
1224,2809.200
1225,4169.500
1226,8641.500
1227,4939.000
1228,10226.100
1229,3257.600
1230,4195.900
1231,2777.400
1232,2713.200
1233,2582.800
1234,4737.200
1235,3638.300
1236,4982.700
1237,3117.300
1238,2565.000
1239,5434.200
1240,3453.500
1241,5838.300
1242,4602.800
1243,2631.300
1244,11059.400
1245,2711.100
1246,2721.200
1247,5987.900
1248,3500.500
1249,2934.600
1250,2606.200
1251,2641.600
1252,11511.800
1253,3369.900
1254,5984.000
1255,2770.600
1256,2970.200
1257,205435.400
1258,7307.500
1259,10487.300
1260,2813.800
1261,2718.200
1262,3762.900
1263,6377.200
1264,2878.300
1265,2632.200
1266,5711.300
1267,3492.600
1268,3091.400
1269,2696.600
1270,3368.100
1271,3841.300
1272,6485.600
1273,2823.200
1274,2918.100
1275,3985.100
1276,4970.700
1277,3112.500
1278,5456.500
1279,3213.800
1280,7642.500
1281,6299.100
1282,2741.200
1283,3423.200
1284,3602.100
1285,3461.500
1286,4422.100
1287,3276.600
1288,2577.600
1289,9514.700
1290,2746.600
1291,3828.200
1292,5999.900
1293,9863.900
1294,2867.900
1295,2803.000
1296,4218.100
1297,4729.100
1298,3767.000
1299,3245.000
1300,3326.200
1301,4999.900
1302,3479.300
1303,2726.000
1304,8906.000
1305,3677.700
1306,3566.400
1307,10746.600
1308,2611.200
1309,3889.500
1310,6155.400
1311,3115.100
1312,2695.100
1313,2722.800
1314,5418.400
1315,4323.500
1316,2730.900
1317,11668.200
1318,3447.800
1319,2587.800
1320,5568.200
1321,3196.000
1322,6615.900
1323,3896.600
1324,4369.600
1325,4753.600
1326,109330.600
1327,3025.300
1328,2565.800
1329,6118.600
1330,2658.300
1331,4486.200
1332,2733.300
1333,8903.600
1334,2886.700
1335,2584.200
1336,13379.700
1337,3490.800
1338,2781.200
1339,2950.500
1340,2754.500
1341,2653.500
1342,4757.900
1343,3438.800
1344,2779.400
1345,5082.300
1346,2992.800
1347,2709.800
1348,4505.600
1349,2622.200
1350,2707.100
1351,112537.600
1352,3928.200
1353,2680.500
1354,2867.700
1355,3210.400
1356,2823.300
1357,3807.500
1358,5774.000
1359,2839.500
1360,5207.600
1361,4657.100
1362,3409.900
1363,2795.900
1364,5688.700
1365,6390.000
1366,6207.100
1367,3925.800
1368,2601.500
1369,3207.600
1370,2888.800
1371,4390.000
1372,3261.800
